annex,entry_seq,ref_no,ref_inferred,status,amended_by,mid_amendments,pages,chemical_name,colour_index,inci_name,cas,ec,colour,product_type,max_concentration,other,wording,needs_review
IV,42,42,0,active,▼B,,392,"Sodium 4-(3-hydroxy-5-
methyl-4-(phenylazo)pyrazol-
2-yl)benzenesulphonate",18820,,,,Yellow,Rinse-off products,,,,0
IV,43,43,0,active,▼B,,392,"Disodium 2,5-dichloro-4-(5-
hydroxy-3-methyl-4-((sulphophenyl)azo)pyrazol-1-yl)
benzenesulphonate",18965,,,,Yellow,,,,,0
IV,44,44,0,active,▼B,,392,"Trisodium 5-hydroxy-1-(4-
sulphophenyl)-4-((4-sulphophenyl)azo)pyrazole-3-
carboxylate and its insoluble
barium, strontium and
zirconium lakes, salts and
pigments",19140,,,217-699-5,Yellow,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 102)",,0
IV,45,45,0,active,▼B,,392,"N,N'-(3,3'-Dimethyl[1,1'-
biphenyl]-4,4'-diyl)bis[2-[(2,4-
dichlorophenyl)azo]-3-
oxobutyramide]",20040,,,,Yellow,Rinse-off products,,"Maximum 3,3'-dimethylbenzidine concentration in
the colouring agent: 5 ppm",,0
IV,46,46,0,active,▼B,,393,"Sodium 4-amino-5-hydroxy-3-
((4-nitrophenyl)azo)-6-
(phenylazo)naphthalene-2,7-
disulphonate",20470,,,,Black,Rinse-off products,,,,0
IV,47,47,0,active,▼B,,393,"2,2'-[(3,3'-Dichloro[1,1'-
biphenyl]-4,4'-diyl)bis(azo)]bis
[N-(2,4-dimethylphenyl)-3-
oxobutyramide]",21100,,,,Yellow,Rinse-off products,,"Maximum 3,3'-dimethylbenzidine concentration in
the colouring agent: 5 ppm",,0
IV,48,48,0,active,▼B,,393,"2,2'-[(3,3'-Dichloro[1,1'-
biphenyl]-4,4'-diyl)bis(azo)]bis
[N-(4-chloro-2,5-dimethoxyphenyl)-3-oxobutyramide]",21108,,,,Yellow,Rinse-off products,,"Maximum 3,3'-dimethylbenzidine concentration in
the colouring agent: 5 ppm",,0
IV,49,49,0,active,▼B,,393,"2,2'-[Cyclohexylidenebis[(2-
methyl-4,1-phenylene)azo]]bis
[4-cyclohexylphenol]",21230,,,,Yellow,"Not to be used in products
applied on mucous
membranes",,,,0
IV,50,50,0,active,▼B,,393,"Disodium 4,6-dihydroxy-3-[[4-
[1-[4-[[1-hydroxy-7-[(phenylsulphonyl)oxy]-3-
sulphonato-2-naphthyl]azo]
phenyl]cyclohexyl]phenyl]azo]
naphthalene-2-sulphonate",24790,,,,Red,Rinse-off products,,,,0
IV,51,51,0,active,▼B,,394,"1-(4-(Phenylazo)phenylazo)-2-
naphthol",26100,,,,Red,"Not to be used in products
applied on mucous
membranes",,"Purity criteria:
aniline ≤ 0,2 %
2-naphtol ≤ 0,2 %
4-aminoazobenzene ≤
0,1 %
1-(phenylazo)-2-naphtol ≤
3 %
1-[2-(phenylazo)phenylazo]-2-napthalenol ≤ 2 %",,0
