annex,entry_seq,ref_no,tier_seq,tier,tier_source,product_type,max_concentration,max_conc_value,max_conc_unit,max_conc_basis,all_conc_values,other,wording
III,33,24,4,d,label,(d) Other products,"(d) 1 % (as
zinc)",1.0,%,zinc,,,
III,34,25,1,,gap,"Deodorants, antiperspirants and",6 % (as %,6.0,%,,,,Avoid contact with eyes
III,34,25,2,,gap,,anhydrous,,,,,,Avoid contact with eyes
III,34,25,3,,gap,astringent lotions,substance),,,,,,Avoid contact with eyes
III,35,26,1,,none,Oral products,"0,15 %
calculated as F.
When mixed
with other
fluorine
compounds
permitted under
this Annex, total
F concentration
must not exceed
0,15 %",0.15,%,,"[0.15, 0.15]",,"Contains ammonium monofluorophosphate.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated as
F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger: use
a pea-sized amount for supervised
brushing to minimise swallowing. In
case of intake of fluoride from other
sources consult a dentist or doctor.’"
III,36,27,1,,none,Oral products,"0,15 %
calculated as F.
When mixed
with other
fluorine
compounds
permitted under
this Annex,
total F concentration must not
exceed 0,15 %",0.15,%,,"[0.15, 0.15]",,"Contains sodium monofluorophosphate.
For any toothpaste with compounds
containing fluorine in a concentration
of 0,1 to 0,15 % calculated as F
unless it is already labelled as contra-
indicated for children (e.g. ‘for adult
use only’) the following labelling is
obligatory:
‘Children of 6 years and younger: use
a pea-sized amount for supervised
brushing to minimise swallowing. In
case of intake of fluoride from other
sources consult a dentist or doctor.’"
III,37,28,1,,gap,Oral products,"0,15 %
calculated as F.",0.15,%,,,,"Contains potassium monofluorophosphate.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,37,28,2,,gap,,"When mixed
with other
fluorine
compounds
permitted under
this Annex,
total F concentration must not
exceed 0,15 %",0.15,%,,,,"Contains potassium monofluorophosphate.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,38,29,1,,gap,Oral products,"0,15 %
calculated as F.",0.15,%,,,,"Contains calcium monofluorophosphate.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,38,29,2,,gap,,"When mixed
with other
fluorine
compounds
permitted under
this Annex,
total F concentration must not
exceed 0,15 %",0.15,%,,,,"Contains calcium monofluorophosphate.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,39,30,1,,gap,Oral products,"0,15 %
calculated as F.",0.15,%,,,,"Contains calcium fluoride.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,39,30,2,,gap,,"When mixed
with other
fluorine
compounds
permitted under
this Annex,
total F concentration must not
exceed 0,15 %",0.15,%,,,,"Contains calcium fluoride.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,40,31,1,,gap,Oral products,"0,15 %
calculated as F.",0.15,%,,,,"Contains sodium fluoride.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,40,31,2,,gap,,"When mixed
with other
fluorine
compounds
permitted under
this Annex,
total F concentration must not
exceed 0,15 %",0.15,%,,,,"Contains sodium fluoride.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,41,32,1,,gap,Oral products,"0,15 %
calculated as F.",0.15,%,,,,"Contains potassium fluoride.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,41,32,2,,gap,,"When mixed
with other
fluorine
compounds
permitted under
this Annex,
total F concentration must not
exceed 0,15 %",0.15,%,,,,"Contains potassium fluoride.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
III,42,33,1,,gap,Oral products,"0,15 %
calculated as F.",0.15,%,,,,"Contains ammonium fluoride.
For any toothpaste with compounds
containing fluorine in a concentration of 0,1 to 0,15 % calculated
as F unless it is already labelled as
contra-indicated for children (e.g.
‘for adult use only’) the following
labelling is obligatory:
‘Children of 6 years and younger:
use a pea-sized amount for
supervised brushing to minimise
swallowing. In case of intake of
fluoride from other sources consult
a dentist or doctor.’"
