annex,entry_seq,ref_no,tier_seq,tier,tier_source,product_type,max_concentration,max_conc_value,max_conc_unit,max_conc_basis,all_conc_values,other,wording
III,83,73,1,a,label,(a) Oral products,,,,,,"(a) (b)
The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,83,73,2,b,label,(b) Other products,"(b) 0,02 %",0.02,%,,,"(a) (b)
The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,84,74,1,,none,,,,,,,"The presence of the
substance must be indicated
in the list of ingredients
referred to in Article 19(1)
(g) when its concentration
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products",
III,85,75,1,a,label,"(a) Fragrance
products
(hydroalcoholic and
non-hydroalcoholic, spray
and non-spray)",(a) 4 %,4.0,%,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,85,75,2,b,label,"(b) Rinse-off skin
and hair
products
(except shower
gel/bath
products)","(b) 0,5 %",0.5,%,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,85,75,3,c,label,"(c) Shower gel/
bath products","(c) 1,3 %",1.3,%,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,85,75,4,d,label,"(d) Leave-on skin
and hair
products (non-
spray/non-
aerosol)
(except body
lotion)","(d) 0,5 %",0.5,%,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,85,75,5,e,label,"(e) Leave-on hair
products
(spray/aerosol)","(e) 0,5 %",0.5,%,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,85,75,6,f,label,(f) Body lotion,"(f) 0,7 %",0.7,%,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,85,75,7,g,label,"(g) Face make-up
and make-up
remover
products","(g) 0,2 %",0.2,%,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,85,75,8,h,label,(h) Oral products,"(h) 0,004 %",0.004,%,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,85,75,9,i,label,"(i) Deodorant
products
(spray/aerosol)","(i) 0,91 %",0.91,%,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,86,76,1,,none,,,,,,,"The presence of the
substance must be indicated
in the list of ingredients
referred to in Article 19(1)
(g) when its concentration
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products",
III,87,77,1,,none,,,,,,,"The presence of the
substance must be indicated
in the list of ingredients
referred to in Article 19(1)
(g) when its concentration
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products",
III,88,78,1,,none,,,,,,,"The presence of the
substance must be indicated
in the list of ingredients
referred to in Article 19(1)
(g) when its concentration
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products",
III,89,79,1,,none,,,,,,,,
III,90,80,1,,none,,,,,,,"The presence of the
substance must be indicated
in the list of ingredients
referred to in Article 19(1)
(g) when its concentration
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products",
III,91,81,1,,none,,,,,,,"The presence of the
substance must be indicated
in the list of ingredients
referred to in Article 19(1)
(g) when its concentration
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products",
III,92,82,1,,none,,,,,,,"The presence of the
substance must be indicated
in the list of ingredients
referred to in Article 19(1)
(g) when its concentration
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products",
III,93,83,1,,none,,,,,,,,
III,94,84,1,,none,,,,,,,"The presence of the
substance must be indicated
in the list of ingredients
referred to in Article 19(1)
(g) when its concentration
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products",
III,95,85,1,,none,,,,,,,"The presence of the
substance must be indicated
in the list of ingredients
referred to in Article 19(1)
(g) when its concentration
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products",
III,96,86,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,97,87,1,,none,,,,,,,"The presence of the
substance must be indicated
in the list of ingredients
referred to in Article 19(1)
(g) when its concentration
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products",
III,98,88,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.
The peroxide value for each
substance shall be less than
20 mmoles/L (15)",
III,99,89,1,a,label,(a) Oral products,,,,,,"(a) (b)
The presence of the
substance must be indicated
in the list of ingredients
referred to in Article 19(1)
(g) when its concentration
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products",
III,99,89,2,b,label,(b) Other products,"(b) 0,01 %
when used
alone
When
present in
combination
with methyl
octine
carbonate,
the
combined
level in the
finished
product
shall not
exceed
0,01 % (of
which
methyl
octine
carbonate
shall not be
more than
0,002 %)",0.01,%,,"[0.01, 0.01, 0.002]","(a) (b)
The presence of the
substance must be indicated
in the list of ingredients
referred to in Article 19(1)
(g) when its concentration
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products",
III,100,90,1,,none,,,,,,,"The presence of the
substance must be indicated
in the list of ingredients
referred to in Article 19(1)
(g) when its concentration
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products",
III,101,91,1,,none,,,,,,,"The presence of the
substance must be indicated
in the list of ingredients
referred to in Article 19(1)
(g) when its concentration
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products",
III,102,92,1,,none,,,,,,,"The presence of the
substance must be indicated
in the list of ingredients
referred to in Article 19(1)
(g) when its concentration
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products",
III,103,93,1,,none,Hair products,"1,5 %",1.5,%,,,,
III,104,94,1,,none,"Artificial nail
systems","0,7 % (after
mixing for use)",0.7,%,"after
mixing for use",,Professional use,"For professional use only
Avoid skin contact
Read directions for use carefully"
III,105,95,1,,none,"Artificial nail
systems","0,02 % (after
mixing for use)",0.02,%,"after
mixing for use",,Professional use,"For professional use only
Avoid skin contact
Read directions for use carefully"
III,106,96,1,a,label,"All cosmetic
products, with the
exception of oral
products","(a) 1,0 % in
fine
fragrance",1.0,%,,,,
III,106,96,2,b,label,"All cosmetic
products, with the
exception of oral
products","(b) 0,4 % in
eau de
toilette",0.4,%,,,,
III,106,96,3,c,label,"All cosmetic
products, with the
exception of oral
products","(c) 0,03 % in
other
products",0.03,%,,,,
III,107,97,1,a,label,"All cosmetic
products, with the
exception of oral
products","(a) 1,4 % in
fine
fragrance",1.4,%,,,,
III,107,97,2,b,label,"All cosmetic
products, with the
exception of oral
products","(b) 0,56 % in
eau de
toilette",0.56,%,,,,
III,107,97,3,c,label,"All cosmetic
products, with the
exception of oral
products","(c) 0,042 % in
other
products",0.042,%,,,,
III,108,98,1,a,label,"(a) Rinse-off hair
products","(a) 3,0 %",3.0,%,,,"(a) (b) (c)
Not to be used in preparations for children under 3
years of age. Not to be used
in applications that may lead
to exposure of the end-
user’s lungs by inhalation.
Not to be used in oral
products. For purposes other
than inhibiting the development of micro-organisms in
the product. This purpose
has to be apparent from the
presentation of the product.
These levels are inclusive of
any use of salicylic acid.","(a) (b) (c)
Not to be used for children under 3
years of age (10)"
III,108,98,2,b,label,"(b) Other products
except body
lotion, eye
shadow,
mascara,
eyeliner,
lipstick, roll-
on deodorant","(b) 2,0 %",2.0,%,,,"(a) (b) (c)
Not to be used in preparations for children under 3
years of age. Not to be used
in applications that may lead
to exposure of the end-
user’s lungs by inhalation.
Not to be used in oral
products. For purposes other
than inhibiting the development of micro-organisms in
the product. This purpose
has to be apparent from the
presentation of the product.
These levels are inclusive of
any use of salicylic acid.","(a) (b) (c)
Not to be used for children under 3
years of age (10)"
III,108,98,3,c,label,"(c) Body lotion,
eye shadow,
mascara,
eyeliner,
lipstick, roll-
on deodorant","(c) 0,5 %",0.5,%,,,"(a) (b) (c)
Not to be used in preparations for children under 3
years of age. Not to be used
in applications that may lead
to exposure of the end-
user’s lungs by inhalation.
Not to be used in oral
products. For purposes other
than inhibiting the development of micro-organisms in
the product. This purpose
has to be apparent from the
presentation of the product.
These levels are inclusive of
any use of salicylic acid.","(a) (b) (c)
Not to be used for children under 3
years of age (10)"
III,109,99,1,a,label,"(a) Oxidative hair
dye products","(a) 0,67 %
(as free
SO2)",0.67,%,"free
SO2",,"For purposes other than
inhibiting the development
of micro-organisms in the
product. This purpose has to
be apparent from the presentation of the product",
III,109,99,2,b,label,"(b) Hair
straightening
products","(b) 6,7 %
(as free
SO2)",6.7,%,"free
SO2",,"For purposes other than
inhibiting the development
of micro-organisms in the
product. This purpose has to
be apparent from the presentation of the product",
III,109,99,3,c,label,"(c) Self-tanning
products for
the face","(c) 0,45 % (as
free SO2)",0.45,%,free SO2,,"For purposes other than
inhibiting the development
of micro-organisms in the
product. This purpose has to
be apparent from the presentation of the product",
III,109,99,4,d,label,"(d) Other self-
tanning
products","(d) 0,40 % (as
free SO2)",0.4,%,free SO2,,"For purposes other than
inhibiting the development
of micro-organisms in the
product. This purpose has to
be apparent from the presentation of the product",
III,110,100,1,,none,Rinse-off products,"1,5 %",1.5,%,,,"Purity criteria:
3,3',4,4'-Tetrachloroazobenzene ≤ 1 ppm
3,3',4,4'-Tetrachloroazoxybenzene ≤ 1 ppm
For purposes other than
inhibiting the development
of micro-organisms in the
product. This purpose has to
be apparent from the presentation of the product",
III,111,101,1,,none,,,,,,,,
III,112,102,1,,aligned,Fine fragrance,"0,01 %",0.01,%,,,,
III,112,102,2,,aligned,Eau de toilette,"0,004 %",0.004,%,,,,
III,112,102,3,,aligned,Fragrance cream,"0,002 %",0.002,%,,,,
III,112,102,4,,aligned,"Other leave-on
products and oral
products","0,0002 %",0.0002,%,,,,
III,112,102,5,,aligned,Rinse-off products,"0,001 %",0.001,%,,,,
III,113,103,1,,none,,,,,,,"Peroxide value less than
10 mmoles/L (15)",
III,114,104,1,,none,,,,,,,,
III,115,105,1,,none,,,,,,,"Peroxide value less than
10 mmoles/L (15)",
III,116,106,1,,none,,,,,,,"Peroxide value less than
10 mmoles/L (15)",
III,117,107,1,,none,,,,,,,"Peroxide value less than
10 mmoles/L (15)",
III,118,108,1,,none,,,,,,,"Peroxide value less than
10 mmoles/L (15)",
III,119,109,1,,none,,,,,,,"The presence of the
substance or substances
shall be indicated as ‘Pinus
Mugo’ in the list of
ingredients referred to in
Article 19(1), point (g),
when the concentration of
the substance or substances
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.
The peroxide value shall be
less than 10 mmoles/L (15)",
III,120,110,1,,none,,,,,,,"Peroxide value less than
10 mmoles/L (15)",
III,121,111,1,,none,,,,,,,"Peroxide value less than
10 mmoles/L (15)",
III,122,112,1,,none,,,,,,,"Peroxide value less than
10 mmoles/L (15)",
III,123,113,1,,none,,,,,,,"Peroxide value less than
10 mmoles/L (15)",
III,124,114,1,,none,,,,,,,"The presence of the
substance or substances
shall be indicated as ‘Pinus
Pumila’ in the list of
ingredients referred to in
Article 19(1), point (g),
when the concentration of
the substance or substances
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.
The peroxide value shall be
less than 10 mmoles/L (15)",
III,125,115,1,,none,,,,,,,"Peroxide value less than
10 mmoles/L (15)",
III,126,116,1,,none,,,,,,,"Peroxide value less than
10 mmoles/L (15)",
III,127,117,1,,none,,,,,,,"Peroxide value less than
10 mmoles/L (15)",
III,128,118,1,,none,,,,,,,"Peroxide value less than
10 mmoles/L (15)",
III,129,119,1,,none,,,,,,,"Peroxide value less than
10 mmoles/L (15)",
III,130,120,1,,none,,,,,,,,
III,131,121,1,,none,,,,,,,"Peroxide value less than
10 mmoles/L (15)",
III,132,122,1,,none,,,,,,,"The presence of the
substance or substances
shall be indicated as ‘Cedrus
Atlantica Oil/ Extract’ in the
list of ingredients referred to
in Article 19(1), point (g),
when the concentration of
the substance or substances
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.
The peroxide value shall be
less than 10 mmoles/L (15)",
III,133,123,1,,none,,,,,,,"Peroxide value less than
10 mmoles/L (15)",
III,134,124,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.
The peroxide value for each
substance shall be less than
10 mmoles/L (15)",
III,135,125-126,1,,none,,,,,,,,
III,136,127,1,,none,,,,,,,"Peroxide value less than
10 mmoles/L (15)",
III,137,128,1,,none,,,,,,,"Peroxide value less than
10 mmoles/L (15)",
III,138,129,1,,none,,,,,,,"Peroxide value less than
10 mmoles/L (15)",
III,139,130,1,,none,,,,,,,"Peroxide value less than
10 mmoles/L (15)",
III,140,131,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.
The peroxide value shall be
less than 10 mmoles/L (15)",
III,141,132,1,,none,,,,,,,"Peroxide value less than
10 mmoles/L (15)",
III,142,133,1,,none,,,,,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products
The peroxide value shall be
less than 10 mmoles/L (15)",
III,143,134,1,a,label,"(a) Leave-on
products",(a) 2 %,2.0,%,,,,
III,143,134,2,b,label,"(b) Rinse-off
products",,,,,,,
III,144,135,1,,none,,,,,,,"Level of free allyl alcohol in
the ester shall be less than
0,1 %",
III,145,136,1,,none,,,,,,,"Level of free allyl alcohol in
the ester shall be less than
0,1 %",
III,146,137,1,,none,,,,,,,"Level of free allyl alcohol in
the ester shall be less than
0,1 %",
III,147,138,1,,none,,,,,,,"Level of free allyl alcohol in
the ester shall be less than
0,1 %",
III,148,139,1,,none,,,,,,,"Level of free allyl alcohol in
the ester shall be less than
0,1 %",
III,149,140,1,,none,,,,,,,"Level of free allyl alcohol in
the ester shall be less than
0,1 %",
III,150,141,1,,none,,,,,,,"Level of free allyl alcohol in
the ester shall be less than
0,1 %",
III,151,142,1,,none,,,,,,,"Level of free allyl alcohol in
the ester shall be less than
0,1 %",
III,152,143,1,,none,,,,,,,"Level of free allyl alcohol in
the ester shall be less than
0,1 %",
III,153,144,1,,none,,,,,,,"Level of free allyl alcohol in
the ester shall be less than
0,1 %",
III,154,145,1,,none,,,,,,,"Level of free allyl alcohol in
the ester shall be less than
0,1 %",
III,155,146,1,,none,,,,,,,"Level of free allyl alcohol in
the ester shall be less than
0,1 %",
III,156,147,1,,none,,,,,,,"Level of free allyl alcohol in
the ester shall be less than
0,1 %",
III,157,148,1,,none,,,,,,,"Level of free allyl alcohol in
the ester shall be less than
0,1 %",
III,158,149,1,,none,,,,,,,"Level of free allyl alcohol in
the ester shall be less than
0,1 %",
III,159,150,1,,none,,,,,,,"Level of free allyl alcohol in
the ester shall be less than
0,1 %",
III,160,151,1,,none,,,,,,,"Level of free allyl alcohol in
the ester shall be less than
0,1 %",
III,161,151a,1,,none,,,,,,,"Level of free allyl alcohol in
the ether shall be less than
0,1 %",
III,162,152,1,,none,,"0,002 %",0.002,%,,,"This material shall not be
used in combination with
any other 2-alkynoic acid
ester (e.g. methyl heptine
carbonate)",
III,163,153,1,,none,,"0,1 %",0.1,%,,,,
III,164,154,1,,none,,"0,4 %",0.4,%,,,"The presence of the
substance or substances
shall be indicated as ‘Myroxylon Pereirae Oil/
Extract’ in the list of
ingredients referred to in
Article 19(1), point (g),
when the concentration of
the substance or substances
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,165,155,1,,none,,"0,6 %",0.6,%,,,,
III,166,156,1,a,label,"(a) Leave-on
products","(a) 0,4 % of
Cumin oil",0.4,%,,,,
III,166,156,2,b,label,"(b) Rinse-off
products",,,,,,,
III,167,157,1,a,label,(a) Oral products,,,,,,"(a) (b)
The presence of the
substance or substances
shall be indicated as ‘Rose
Ketones’ in the list of
ingredients referred to in
Article 19(1), point (g),
when the concentration of
the substance or substances
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,167,157,2,b,label,(b) Other products,"(b) 0,02 %",0.02,%,,,"(a) (b)
The presence of the
substance or substances
shall be indicated as ‘Rose
Ketones’ in the list of
ingredients referred to in
Article 19(1), point (g),
when the concentration of
the substance or substances
exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,168,158,1,,none,,,,,,,,
III,169,159,1,,none,,"0,02 %",0.02,%,,,,
III,170,160-163,1,,none,,,,,,,,
III,171,164,1,,none,,"0,02 %",0.02,%,,,,
III,172,165,1,,none,,,,,,,,
III,173,166,1,a,label,(a) Oral products,,,,,,,
III,173,166,2,b,label,(b) Other products,"(b) 0,002 %",0.002,%,,,,
III,174,167-168,1,,none,,,,,,,,
III,175,169,1,a,label,(a) Oral products,,,,,,,
III,175,169,2,b,label,(b) Other products,"(b) 0,1 %",0.1,%,,,,
III,176,170,1,,none,,"0,1 %",0.1,%,,,,
III,177,171,1,,none,,"0,5 %",0.5,%,,,,
III,178,172,1,,none,,"0,2 %",0.2,%,,,,
III,179,173,1,a,label,(a) Oral products,,,,,,,
III,179,173,2,b,label,(b) Other products,"(b) 0,002 %
when used
alone.
When
present in
combination
with methyl
heptine
carbonate,
the
combined
level in the
finished
product
shall not
exceed
0,01 % (of
which
methyl
octine
carbonate
shall not be
more than
0,002 %)",0.002,%,,"[0.002, 0.01, 0.002]",,
III,180,174,1,a,label,(a) Oral products,,,,,,,
III,180,174,2,b,label,(b) Other products,"(b) 0,3 %",0.3,%,,,,
III,181,175,1,a,label,(a) Oral products,,,,,,"(a)
The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,181,175,2,b,label,(b) Other products,"b) 0,01 %",0.01,%,,,,
III,182,176,1,,none,,"0,5 %",0.5,%,,,,
III,183,177,1,a,label,(a) Oral products,,,,,,,
III,183,177,2,b,label,(b) Other products,"(b) 0,06 %",0.06,%,,,,
III,184,178,1,a,label,(a) Oral products,,,,,,,
III,184,178,2,b,label,(b) Other products,"(b) 0,002 %",0.002,%,,,,
III,185,179,1,,none,,"0,2 %",0.2,%,,,,
III,186,180,1,,none,,"0,6 %",0.6,%,,,,
III,187,181,1,,none,,"0,6 %",0.6,%,,,,
III,188,182,1,a,label,"All cosmetic
products with the
exception of oral
products","(a) leave-on
products:
0,1 %
except:
hydroalcoholic
products:
1 %
fine
fragrance:
2,5 %
fragrance
cream: 0,5 %",0.1,%,,"[0.1, 1.0, 2.5, 0.5]",,
III,188,182,2,b,label,"All cosmetic
products with the
exception of oral
products","(b) rinse-off
products:
0,2 %",0.2,%,,,,
III,189,183,1,,none,,"0,6 %",0.6,%,,,,
III,190,184,1,,none,,"0,6 %",0.6,%,,,,
III,191,185,1,,none,Nail products,25 %,25.0,%,,,,"Keep out of reach of children
To be used by adults only"
III,192,186,1,,none,"As traces in
ingredients","0,1 %",0.1,%,,,,
III,193,187,1,,none,"Solvent in hair dye
products",9 %,9.0,%,,,"No use in aerosol dispensers
(sprays)",
III,194,188,1,a,label,"(a) Solvent in
oxidative hair
dye products","(a) 4,0 %",4.0,%,,,"(a) (b)
No use in aerosol dispensers
(sprays)",
III,194,188,2,b,label,"(b) Solvent in non-
oxidative hair
dye products","(b) 2,0 %",2.0,%,,,"(a) (b)
No use in aerosol dispensers
(sprays)",
III,195,189,1,,none,"Hair dye substance
in non-oxidative
hair dye products","0,5 %",0.5,%,,,,
III,196,190,1,,none,"Hair dye substance
in non-oxidative
hair dye products","0,5 %",0.5,%,,,,
III,197,191,1,,none,"Hair dye substance
in non-oxidative
hair dye products","0,4 %",0.4,%,,,,
III,198,192,1,,none,"Hair dye substance
in non-oxidative
hair dye products","0,5 %",0.5,%,,,,
III,199,193,1,a,label,"(a) Hair dye
substance in
oxidative hair
dye products",,,,,,"(a) After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 1,5 %.","(a) To be printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face
or sensitive, irritated and
damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.’"
III,199,193,2,b,label,"(b) Hair dye
substance in
non-oxidative
hair dye
products","(b) 0,6 %",0.6,%,,,,
III,200,194,1,,none,,100 mg/kg,100.0,mg/kg,,,,
III,201,195,1,,none,"Hair dye substance
in non-oxidative
hair dye products","0,5 %",0.5,%,,,"— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg /kg
— Keep in nitrite-free
containers",
III,202,196,1,,none,,"0,2 %",0.2,%,,,"The presence of the
substance shall be indicated
in the list of ingredients
referred to in Article 19(1),
point (g), when its concentration exceeds:
— 0,001 % in leave-on
products
— 0,01 % in rinse-off
products.",
III,203,197,1,a,label,(a) soap,"0,8 %",0.8,%,,,"For purposes other than
inhibiting the development
of micro-organisms in the
product. This purpose has to
be apparent from the presentation of the product",
III,203,197,2,b,label,"(b) anti-dandruff
shampoos","0,8 %",0.8,%,,,"For purposes other than
inhibiting the development
of micro-organisms in the
product. This purpose has to
be apparent from the presentation of the product",
III,203,197,3,c,label,"(c) deodorants, not
in form of
spray","0,8 %",0.8,%,,,"For purposes other than
inhibiting the development
of micro-organisms in the
product. This purpose has to
be apparent from the presentation of the product",
III,204,198,1,,none,"Hair dye
substance in
oxidative hair dye
products",,,,,,"After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 2,5 % (calculated as
sulphate)
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg/kg
— Keep in nitrite-free
containers","To be printed on the label:
The mixing ratio.
‘ Hair colorants can cause severe
allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past.’"
III,205,199,1,,none,"Hair dye
substance in
oxidative hair dye
products",,,,,,"After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 2,5 %","To be printed on the label:
The mixing ratio.
‘ Hair colorants can cause severe
allergic reactions.
Read and follow instructions.
This product is not intended for use
on persons under the age of 16.
Temporary “black henna” tattoos
may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or
sensitive, irritated and damaged
scalp,
— you have ever experienced any
reaction after colouring your
hair,
— you have experienced a reaction
to a temporary “black henna”
tattoo in the past.’"
III,206,200,1,a,label,"(a) Hair dye
substance in
oxidative hair
dye products",,,,,,"(a) (c) After mixing under
oxidative conditions
the maximum
concentration
applied to hair or
eyelashes must not
exceed 3,4 % (calculated as sulfate)","(a) To be printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your
face or sensitive, irritated
and damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.’"
III,206,200,2,b,label,"(b) Hair dye
substance in
non-oxidative
hair dye
products","(b) 3,4 % (calculated as
sulfate)",3.4,%,"calculated as
sulfate",,,
III,206,200,3,c,label,"(c) Products
intended for
colouring
eyelashes",,,,,,"(a) (c) After mixing under
oxidative conditions
the maximum
concentration
applied to hair or
eyelashes must not
exceed 3,4 % (calculated as sulfate)
(c) Professional use","(c) As from 3 March 2018, to be
printed on the label:
The mixing ratio.
‘ This product can cause
severe allergic reactions. Read
and follow instructions.
This product is not intended for
use on persons under the age of
16. Temporary “black henna”
tattoos may increase the risk of
allergy.
Eyelashes shall not be coloured
if the consumer:
— has a rash on the face or
sensitive, irritated and
damaged scalp,
— has experienced any reaction
after colouring hair or
eyelashes,
— has experienced a reaction to
a temporary “black henna”
tattoo in the past.
For professional use only.
Rinse eyes immediately if
product comes into contact with
them’."
III,207,201,1,a,label,"(a) Hair dye
substance in
oxidative hair
dye products",,,,,,"(a) After mixing under
oxidative conditions the
maximum concentration
applied to hair must not
exceed 1,5 %
(a) and (b):
— Do not use with nitrosating agents
— Maximum nitrosamine
content: 50 μg /kg
— Keep in nitrite-free
containers","(a) To be printed on the label:
The mixing ratio.
‘ Hair colourants can cause
severe allergic reactions.
Read and follow instructions.
This product is not intended for
use on persons under the age
of 16.
Temporary “black henna”
tattoos may increase your risk
of allergy.
Do not colour your hair if:
— you have a rash on your face
or sensitive, irritated and
damaged scalp,
— you have ever experienced
any reaction after colouring
your hair,
— you have experienced a
reaction to a temporary
“black henna” tattoo in the
past.’"
III,207,201,2,b,label,"(b) Hair dye
substance in
non-oxidative
hair dye
products","(b) 3,0 %",3.0,%,,,,
III,208,202,1,,none,,,,,,,,
