annex,entry_seq,ref_no,ref_inferred,status,amended_by,mid_amendments,pages,chemical_name,colour_index,inci_name,cas,ec,colour,product_type,max_concentration,other,wording,needs_review
V,18,16,0,active,▼B,,418,Thiomersal,,Thimerosal,54-64-8,200-210-4,,Eye products,"0,007 % (of Hg)
If mixed with other
mercurial
compounds authorised by this
Regulation, the
maximum concentration of Hg
remains fixed at
0,007 %",,"Contains
Thiomersal",0
V,19,17,0,active,▼B,,418,"Phenylmercuric salts
(including borate)",,"Phenyl Mercuric
Acetate, Phenyl
Mercuric Benzoate","62-38-4, 94-43-9","200-532-5,
202-331-8",,Eye products,"0,007 % (of Hg)
If mixed with other
mercurial
compounds authorised by this
Regulation, the
maximum concentration of Hg
remains fixed at
0,007 %",,"Contains
Phenylmercuric
compounds",0
V,20,18,0,active,▼B,,419,"Undec-10-enoic acid
and its salts",,"Undecylenic acid,
potassium undecylenate, sodium undecylenate, calcium undecylenate, TEA-undecylenate, MEA-undecylenate","112-38-9, 6159-41-7,
3398-33-2, 1322-14-1,
84471-25-0, 56532-
40-2","203-965-8,
222-264-8,
215-331-8,
282-908-9,
260-247-7",,,"0,2 % (as acid)",,,1
V,21,19,0,active,▼B,,419,"5- Pyrimidinamine,
1,3-bis (2-ethylhexyl)
hexahydro-5-methyl-",,Hexetidine,141-94-6,205-513-5,,,"0,1 %",,,0
V,22,20,0,active,▼B,,419,"5-Bromo-5-nitro-1,3-
dioxane",,"5-Bromo-5-nitro-1,3-
dioxane",30007-47-7,250-001-7,,Rinse-off products,"0,1 %","Avoid formation
of nitrosamines",,0
V,23,21,0,active,▼B,,419,Bronopol,,"2-Bromo-2-nitropropane-1,3-diol",52-51-7,200-143-0,,,"0,1 %","Avoid formation
of nitrosamines",,0
V,24,22,0,active,▼B,,419,"2,4-Dichlorobenzyl
alcohol",,"Dichlorobenzyl
Alcohol",1777-82-8,217-210-5,,,"0,15 %",,,0
V,25,23,0,active,▼M51,,419,"1-(4-Chlorophenyl)-3-
(3,4-dichlorophenyl)
urea (22) (6)",,Triclocarban,101-20-2,202-924-1,,"All cosmetic
products, with the
exception of
mouthwash.","0,2 %","Purity criteria:
3,3',4,4'-Tetrachloroazobenzene
≤ 1 ppm
3,3',4,4'-Tetrachloroazoxybenzene
≤ 1 ppm
Not to be used in
toothpaste
intended for
children under 6
years of age.","For toothpaste
containing Triclocarban the
following
labelling is
obligatory: ‘Not
to be used for
children under 6
years of age’.",0
V,26,24,0,active,▼B,,420,Chlorocresol,,p-Chloro-m-Cresol,59-50-7,200-431-6,,"Not to be used in
products applied on
mucuous
membranes","0,2 %",,,0
V,27,25,0,active,▼M51,,420,"5-Chloro-2- (2,4-
dichlorophenoxy)
phenol (22)",,Triclosan,3380-34-5,222-182-2,,"Toothpastes; Hand
soaps; Body soaps/
Shower gels;
Deodorants (non-
spray); Face
powders and
blemish concealers;
Nail products for
cleaning the
fingernails and
toenails before the
application of
artificial nail
systems;","0,3 %","Not to be used in
toothpaste
intended for
children under 3
years of age.","For toothpaste
containing
Triclosan the
following
labelling is
obligatory: ‘Not
to be used for
children under 3
years of age’.",0
V,28,26,0,active,▼B,,421,Chloro-xylenol,,Chloroxylenol,88-04-0,201-793-8,,,"0,5 %",,,0
V,29,27,0,active,▼B,,421,"N,N″-methylene-
bis[N′-[3-(hydroxymethyl)-2,5-dioxoimidazolidin-4-yl]urea]",,Imidazolidinyl urea,39236-46-9,254-372-6,,,"0,6 %",,,0
